älä	ei	verb	-	+imper+2sg
älkää	ei	verb	-	+imper+2pl
älkäätte	ei	verb	-	+imper+2pl+poet
älkäämme	ei	verb	-	+imper+2pl+poet
älköön	ei	verb	-	+imper+3sg
älkööt	ei	verb	-	+imper+3pl
ällös	ei	verb	-	+optat
äläkä	ei	verb	-	+imper+2sg+ka
älkääkä	ei	verb	-	+imper+2pl+ka
älkäättekä	ei	verb	-	+imper+2pl+poet+ka
älköönkä	ei	verb	-	+imper+3sg+ka
älköötkä	ei	verb	-	+imper+3pl+ka
elä	ei	verb	-	+imper+2sg+dial
elkää	ei	verb	-	+imper+2pl+dial
elkäätte	ei	verb	-	+imper+2pl+dial
elköön	ei	verb	-	+imper+3sg+dial
elkööt	ei	verb	-	+imper+3pl+dial
ellös	ei	verb	-	+optat+dial
eläkä	ei	verb	-	+imper+2sg+ka+dial
elkääkä	ei	verb	-	+imper+2pl+ka+dial
elkäättekä	ei	verb	-	+imper+2pl+ka+dial
elköönkä	ei	verb	-	+imper+3sg+ka+dial
elköötkä	ei	verb	-	+imper+3pl+ka+dial
enkä	ei	verb	-	+1sg+ka
etkä	ei	verb	-	+2sg+ka
eikä	ei	verb	-	+3sg+ka
emmekä	ei	verb	-	+1pl+ka
ettekä	ei	verb	-	+2pl+ka
eivätkä	ei	verb	-	+3pl+ka
minä	minä	pronoun	-	+sg+nom
minut	minä	pronoun	-	+sg+acc
minun	minä	pronoun	-	+sg+gen
minua	minä	pronoun	-	+sg+par
minuun	minä	pronoun	-	+sg+ill
minussa	minä	pronoun	-	+sg+ine
minusta	minä	pronoun	-	+sg+ela
minulle	minä	pronoun	-	+sg+all
minulla	minä	pronoun	-	+sg+ade
minulta	minä	pronoun	-	+sg+abl
minuksi	minä	pronoun	-	+sg+tra
minuna	minä	pronoun	-	+sg+ess
sinä	sinä	pronoun	-	+sg+nom
sinut	sinä	pronoun	-	+sg+acc
sinun	sinä	pronoun	-	+sg+gen
sinua	sinä	pronoun	-	+sg+par
sinuun	sinä	pronoun	-	+sg+ill
sinussa	sinä	pronoun	-	+sg+ine
sinusta	sinä	pronoun	-	+sg+ela
sinulle	sinä	pronoun	-	+sg+all
sinulla	sinä	pronoun	-	+sg+ade
sinulta	sinä	pronoun	-	+sg+abl
sinuksi	sinä	pronoun	-	+sg+tra
sinuna	sinä	pronoun	-	+sg+ess
mä	mä	pronoun	dial|coll	+sg+nom
mut	mä	pronoun	dial|coll	+sg+acc
mun	mä	pronoun	dial|coll	+sg+gen
mua	mä	pronoun	dial|coll	+sg+par
muhun	mä	pronoun	dial|coll	+sg+ill
mussa	mä	pronoun	dial|coll	+sg+ine
musta	mä	pronoun	dial|coll	+sg+ela
mulle	mä	pronoun	dial|coll	+sg+all
mulla	mä	pronoun	dial|coll	+sg+ade
multa	mä	pronoun	dial|coll	+sg+abl
muksi	mä	pronoun	dial|coll	+sg+tra
sä	sä	pronoun	dial|coll	+sg+nom
sut	sä	pronoun	dial|coll	+sg+acc
sun	sä	pronoun	dial|coll	+sg+gen
sua	sä	pronoun	dial|coll	+sg+par
suhun	sä	pronoun	dial|coll	+sg+ill
sussa	sä	pronoun	dial|coll	+sg+ine
susta	sä	pronoun	dial|coll	+sg+ela
sulle	sä	pronoun	dial|coll	+sg+all
sulla	sä	pronoun	dial|coll	+sg+ade
sulta	sä	pronoun	dial|coll	+sg+abl
suksi	sä	pronoun	dial|coll	+sg+tra
mie	mie	pronoun	dial|coll	+sg+nom
miut	mie	pronoun	dial|coll	+sg+acc
miun	mie	pronoun	dial|coll	+sg+gen
miuta	mie	pronoun	dial|coll	+sg+par
miuhun	mie	pronoun	dial|coll	+sg+ill
miuun	mie	pronoun	dial|coll	+sg+ill
miussa	mie	pronoun	dial|coll	+sg+ine
miusta	mie	pronoun	dial|coll	+sg+ela
miulle	mie	pronoun	dial|coll	+sg+all
miulla	mie	pronoun	dial|coll	+sg+ade
miulta	mie	pronoun	dial|coll	+sg+abl
miuksi	mie	pronoun	dial|coll	+sg+tra
